Date,Four_cuts,Photoism,Haru_firm
2021-01-01,8.44861,2.8162,0
2021-01-02,5.583,3.26086,0
2021-01-03,5.583,3.06324,0
2021-01-04,3.75494,2.42094,0
2021-01-05,3.35968,2.8162,0
2021-01-06,3.80434,2.71739,0
2021-01-07,2.37154,1.58102,0
2021-01-08,3.11264,1.58102,0
2021-01-09,4.24901,1.82806,0
2021-01-10,3.55731,4.29841,0
2021-01-11,3.80434,2.61857,0
2021-01-12,3.35968,3.01383,0
2021-01-13,3.40909,2.17391,0
2021-01-14,3.5079,2.17391,0
2021-01-15,4.94071,2.61857,0
2021-01-16,6.66996,3.45849,0
2021-01-17,6.32411,3.01383,0
2021-01-18,3.75494,2.17391,0
2021-01-19,4.05138,2.51976,0
2021-01-20,4.1996,2.32213,0
2021-01-21,3.40909,2.22332,0
2021-01-22,4.10079,2.47035,0
2021-01-23,7.36166,2.47035,0
2021-01-24,8.64624,3.5079,0
2021-01-25,5.97826,3.65612,0
2021-01-26,4.59486,2.17391,0
2021-01-27,4.49604,2.86561,0
2021-01-28,4.34782,2.47035,0
2021-01-29,4.79249,2.61857,0
2021-01-30,7.21343,3.95256,0
2021-01-31,7.01581,4.15019,0
2021-02-01,5.583,3.55731,0
2021-02-02,5.08893,2.71739,0
2021-02-03,5.43478,2.22332,0
2021-02-04,4.64426,3.01383,0
2021-02-05,4.69367,3.40909,0
2021-02-06,7.50988,4.99011,0
2021-02-07,9.38735,5.23715,0
2021-02-08,4.15019,4.8913,0
2021-02-09,5.23715,2.51976,0
2021-02-10,6.42292,3.21146,0
2021-02-11,8.20158,4.10079,0
2021-02-12,8.59683,3.60671,0
2021-02-13,11.46245,3.26086,0
2021-02-14,11.21541,3.60671,0
2021-02-15,6.81818,3.11264,0
2021-02-16,5.87944,4.05138,0
2021-02-17,8.99209,4.10079,0
2021-02-18,7.60869,3.60671,0
2021-02-19,7.6581,3.40909,0
2021-02-20,13.2411,4.1996,0
2021-02-21,12.64822,5.53359,0
2021-02-22,9.23913,4.29841,0
2021-02-23,7.26284,3.70553,0
2021-02-24,6.91699,4.34782,0
2021-02-25,4.99011,4.1996,0
2021-02-26,7.41106,4.1996,0
2021-02-27,11.70948,4.8913,0
2021-02-28,13.53754,5.33596,0
2021-03-01,8.94268,4.34782,0
2021-03-02,5.38537,3.06324,0
2021-03-03,5.78063,3.65612,0
2021-03-04,6.12648,5.18774,0
2021-03-05,6.32411,3.31027,0
2021-03-06,12.25296,6.37351,0
2021-03-07,10.91897,5.13833,0
2021-03-08,6.32411,3.35968,0
2021-03-09,5.38537,3.90316,0
2021-03-10,5.73122,3.01383,0
2021-03-11,5.18774,3.65612,0
2021-03-12,5.43478,3.26086,0
2021-03-13,10.57312,5.78063,0
2021-03-14,9.63438,4.44664,0
2021-03-15,5.97826,5.48418,0
2021-03-16,6.71936,3.45849,0
2021-03-17,5.68181,3.95256,0
2021-03-18,7.06521,3.65612,0
2021-03-19,5.92885,3.06324,0
2021-03-20,9.48616,4.64426,0
2021-03-21,9.23913,3.5079,0
2021-03-22,5.83003,4.00197,0
2021-03-23,4.74308,3.5079,0
2021-03-24,5.63241,3.21146,0
2021-03-25,5.23715,3.55731,0
2021-03-26,7.11462,3.26086,0
2021-03-27,9.88142,4.00197,0
2021-03-28,7.80632,5.08893,0
2021-03-29,5.73122,3.70553,0
2021-03-30,7.11462,3.16205,0
2021-03-31,6.52173,3.06324,0
2021-04-01,5.68181,4.05138,0
2021-04-02,6.07707,2.37154,0
2021-04-03,7.80632,5.583,0
2021-04-04,11.01778,3.85375,0
2021-04-05,5.78063,4.00197,0
2021-04-06,6.66996,3.80434,0
2021-04-07,8.10276,3.45849,0
2021-04-08,6.17588,3.65612,0
2021-04-09,7.90513,3.80434,0
2021-04-10,14.92094,4.39723,0
2021-04-11,11.46245,3.85375,0
2021-04-12,6.57114,3.80434,0
2021-04-13,5.38537,3.55731,0
2021-04-14,6.57114,3.95256,0
2021-04-15,7.6581,3.60671,0
2021-04-16,7.85573,3.06324,0
2021-04-17,10.32608,4.39723,0
2021-04-18,10.07905,5.63241,0
2021-04-19,6.37351,3.70553,0
2021-04-20,7.11462,4.29841,0
2021-04-21,5.43478,3.26086,0
2021-04-22,8.05335,3.70553,0
2021-04-23,7.21343,4.34782,0
2021-04-24,12.84584,5.583,0
2021-04-25,11.01778,3.70553,0
2021-04-26,7.90513,3.5079,0
2021-04-27,5.78063,3.31027,0
2021-04-28,6.57114,4.94071,0
2021-04-29,6.86758,4.05138,0
2021-04-30,8.59683,4.24901,0
2021-05-01,12.79644,5.48418,0
2021-05-02,11.70948,5.68181,0
2021-05-03,8.54743,5.03952,0
2021-05-04,6.81818,4.29841,0
2021-05-05,14.27865,6.02766,0
2021-05-06,9.38735,5.28656,0
2021-05-07,6.86758,5.38537,0
2021-05-08,10.37549,5.18774,0
2021-05-09,11.8577,5.97826,0
2021-05-10,5.97826,4.8913,0
2021-05-11,7.50988,4.69367,0
2021-05-12,7.6581,4.44664,0
2021-05-13,6.91699,3.90316,0
2021-05-14,8.74505,3.70553,0
2021-05-15,12.30237,4.00197,0
2021-05-16,9.58498,5.03952,0
2021-05-17,7.85573,4.24901,0
2021-05-18,9.14031,4.05138,0
2021-05-19,13.43873,5.48418,0
2021-05-20,8.3498,5.28656,0
2021-05-21,8.84387,6.22529,0
2021-05-22,13.09288,6.07707,0
2021-05-23,15.71146,6.57114,0
2021-05-24,8.00395,5.08893,0
2021-05-25,8.20158,3.01383,0
2021-05-26,7.01581,3.95256,0
2021-05-27,8.30039,3.70553,0
