Date,Four_cuts,Photoism,Haru_firm
2021-01-01,16.08695,12.64492,0
2021-01-02,12.51811,12.13768,0
2021-01-03,10.50724,11.0326,0
2021-01-04,8.67753,12.30072,0
2021-01-05,9.58333,10.47101,0
2021-01-06,8.84057,11.25,0
2021-01-07,7.97101,10.54347,0
2021-01-08,8.56884,11.05072,0
2021-01-09,10.52536,10.09057,0
2021-01-10,10.48913,12.08333,0
2021-01-11,8.78623,11.34057,0
2021-01-12,8.75,12.19202,0
2021-01-13,11.99275,12.8442,0
2021-01-14,11.0326,11.57608,0
2021-01-15,12.69927,10.41666,0
2021-01-16,15.50724,12.22826,0
2021-01-17,13.49637,12.68115,0
2021-01-18,10.92391,13.94927,0
2021-01-19,12.59057,15.07246,0
2021-01-20,13.33333,14.02173,0
2021-01-21,12.77173,14.81884,0
2021-01-22,14.34782,12.93478,0
2021-01-23,18.15217,16.97463,0
2021-01-24,19.4384,17.88043,0
2021-01-25,16.52173,18.76811,0
2021-01-26,14.02173,15.45289,0
2021-01-27,16.30434,16.12318,0
2021-01-28,14.02173,15.21739,0
2021-01-29,15.86956,15.85144,0
2021-01-30,20.88768,20.88768,0
2021-01-31,18.33333,24.60144,0
2021-02-01,14.67391,18.93115,0
2021-02-02,16.81159,19.42028,0
2021-02-03,16.79347,21.23188,0
2021-02-04,17.17391,23.91304,0
2021-02-05,19.85507,20.85144,0
2021-02-06,23.76811,30.76086,0
2021-02-07,21.35869,29.0942,0
2021-02-08,19.25724,25.72463,0
2021-02-09,18.22463,23.35144,0
2021-02-10,19.61956,21.64855,0
2021-02-11,18.07971,20.48913,0
2021-02-12,14.92753,18.07971,0
2021-02-13,22.3913,22.68115,0
2021-02-14,26.70289,24.76449,0
2021-02-15,17.75362,27.40942,0
2021-02-16,16.08695,27.31884,0
2021-02-17,19.05797,27.69927,0
2021-02-18,19.72826,25.27173,0
2021-02-19,23.04347,26.66666,0
2021-02-20,32.60869,30.61594,0
2021-02-21,29.42028,33.04347,0
2021-02-22,20.6884,30.14492,0
2021-02-23,21.66666,24.94565,0
2021-02-24,20.19927,29.29347,0
2021-02-25,21.0326,26.61231,0
2021-02-26,22.21014,25.03623,0
2021-02-27,27.26449,28.85869,0
2021-02-28,26.90217,29.63768,0
2021-03-01,18.6413,22.51811,0
2021-03-02,12.60869,14.00362,0
2021-03-03,12.0471,17.77173,0
2021-03-04,12.93478,20.16304,0
2021-03-05,18.15217,16.73913,0
2021-03-06,25.59782,26.75724,0
2021-03-07,20.61594,22.60869,0
2021-03-08,12.57246,17.46376,0
2021-03-09,12.53623,17.71739,0
2021-03-10,15.94202,18.26086,0
2021-03-11,14.7826,17.82608,0
2021-03-12,16.73913,19.85507,0
2021-03-13,29.31159,25.72463,0
2021-03-14,21.41304,22.01086,0
2021-03-15,14.52898,19.25724,0
2021-03-16,12.89855,15.7971,0
2021-03-17,14.69202,16.95652,0
2021-03-18,15.3442,18.26086,0
2021-03-19,19.7826,16.5942,0
2021-03-20,23.93115,21.88405,0
2021-03-21,21.73913,19.47463,0
2021-03-22,13.60507,17.62681,0
2021-03-23,11.92028,15.94202,0
2021-03-24,14.0942,15.0,0
2021-03-25,14.92753,14.72826,0
2021-03-26,19.03985,16.21376,0
2021-03-27,22.22826,21.21376,0
2021-03-28,19.87318,18.36956,0
2021-03-29,12.80797,14.23913,0
2021-03-30,13.75,15.41666,0
2021-03-31,14.13043,12.44565,0
2021-04-01,14.92753,15.74275,0
2021-04-02,19.63768,16.53985,0
2021-04-03,20.07246,22.33695,0
2021-04-04,20.01811,17.93478,0
2021-04-05,11.92028,17.60869,0
2021-04-06,12.33695,14.0942,0
2021-04-07,14.29347,12.88043,0
2021-04-08,12.64492,13.47826,0
2021-04-09,17.11956,13.75,0
2021-04-10,22.40942,20.28985,0
2021-04-11,18.56884,17.26449,0
2021-04-12,8.6413,13.85869,0
2021-04-13,9.36594,12.31884,0
2021-04-14,10.18115,13.67753,0
2021-04-15,11.39492,14.02173,0
2021-04-16,10.86956,12.88043,0
2021-04-17,20.48913,15.92391,0
2021-04-18,16.08695,14.94565,0
2021-04-19,10.14492,13.26086,0
2021-04-20,9.71014,13.00724,0
2021-04-21,9.74637,12.46376,0
2021-04-22,13.47826,13.58695,0
2021-04-23,15.52536,14.36594,0
2021-04-24,23.9855,20.65217,0
2021-04-25,19.94565,20.16304,0
2021-04-26,14.76449,16.41304,0
2021-04-27,14.32971,15.72463,0
2021-04-28,16.01449,20.28985,0
2021-04-29,17.93478,19.16666,0
2021-04-30,21.81159,22.37318,0
2021-05-01,27.59057,26.21376,0
2021-05-02,24.71014,24.81884,0
2021-05-03,16.63043,19.8913,0
2021-05-04,15.38043,17.35507,0
2021-05-05,31.35869,28.69565,0
2021-05-06,19.58333,19.92753,0
2021-05-07,20.86956,22.21014,0
2021-05-08,21.06884,22.93478,0
2021-05-09,23.26086,24.0942,0
2021-05-10,14.94565,17.15579,0
2021-05-11,17.0471,16.61231,0
2021-05-12,15.83333,17.89855,0
2021-05-13,16.4855,16.1413,0
2021-05-14,21.81159,23.33333,0
2021-05-15,25.86956,23.07971,0
2021-05-16,19.69202,18.82246,0
2021-05-17,13.69565,14.34782,0
2021-05-18,19.03985,17.42753,0
2021-05-19,33.13405,28.94927,0
2021-05-20,14.8913,16.75724,0
2021-05-21,17.46376,20.59782,0
2021-05-22,29.31159,28.36956,0
2021-05-23,21.99275,23.58695,0
2021-05-24,13.13405,14.42028,0
2021-05-25,12.77173,14.13043,0
2021-05-26,13.65942,14.29347,0
2021-05-27,13.89492,14.74637,0
2021-05-28,19.90942,14.16666,0
2021-05-29,27.17391,20.74275,0
2021-05-30,21.05072,20.47101,0
2021-05-31,12.75362,13.15217,0
2021-06-01,13.60507,13.02536,0
2021-06-02,13.13405,13.6413,0
2021-06-03,11.44927,13.15217,0
2021-06-04,17.48188,12.78985,0
2021-06-05,27.26449,18.91304,0
2021-06-06,22.5,18.20652,0
2021-06-07,13.69565,13.94927,0
2021-06-08,12.55434,12.75362,0
2021-06-09,12.68115,12.44565,0
2021-06-10,13.42391,13.58695,0
2021-06-11,15.18115,14.27536,0
2021-06-12,24.85507,19.67391,0
2021-06-13,19.85507,20.81521,0
2021-06-14,14.34782,14.56521,0
2021-06-15,14.74637,13.13405,0
2021-06-16,17.68115,16.63043,0
2021-06-17,19.56521,20.28985,0.03623
2021-06-18,22.46376,22.08333,0
2021-06-19,35.7971,28.60507,0
2021-06-20,26.39492,26.5942,0
2021-06-21,21.06884,20.70652,0.09057
2021-06-22,21.4855,21.99275,0.05434
2021-06-23,22.46376,23.11594,0
2021-06-24,29.14855,24.31159,0
2021-06-25,33.22463,23.75,0.16304
2021-06-26,40.38043,27.11956,2.2826
2021-06-27,31.44927,26.35869,0.70652
2021-06-28,23.58695,19.47463,0.81521
2021-06-29,23.67753,22.15579,0.70652
2021-06-30,24.72826,20.90579,0.59782
2021-07-01,23.75,20.94202,0.50724
2021-07-02,26.21376,20.72463,0.76086
2021-07-03,27.7355,24.03985,0.70652
2021-07-04,25.10869,20.97826,0.39855
2021-07-05,20.14492,18.2971,0.74275
