Date,Four_cuts,Photoism,Haru_firm
2021-05-27,8.62619,2.95527,0
2021-05-28,61.1821,3.4345,0
2021-05-29,16.77316,3.59424,0
2021-05-30,18.53035,6.3099,0
2021-05-31,8.38658,3.11501,0
2021-06-01,8.70607,3.99361,0
2021-06-02,9.34504,3.11501,0
2021-06-03,8.3067,3.4345,0
2021-06-04,11.1821,2.95527,0
2021-06-05,18.69009,4.31309,0
2021-06-06,20.20766,4.63258,0
2021-06-07,9.66453,3.51437,0
2021-06-08,9.82428,3.19488,0
2021-06-09,8.46645,2.23642,0
2021-06-10,8.14696,1.51757,0
2021-06-11,6.94888,3.91373,0
2021-06-12,16.45367,3.91373,0
2021-06-13,15.33546,4.07348,0
2021-06-14,9.42492,2.55591,0
2021-06-15,9.50479,2.87539,0
2021-06-16,6.869,2.07667,0
2021-06-17,10.38338,2.63578,0.23961
2021-06-18,11.26198,4.95207,0
2021-06-19,14.13738,3.4345,0
2021-06-20,14.85623,3.91373,0
2021-06-21,11.34185,3.03514,0
2021-06-22,9.7444,2.07667,0
2021-06-23,10.30351,3.03514,0
2021-06-24,11.66134,3.11501,0
2021-06-25,11.66134,2.07667,0
2021-06-26,18.3706,4.47284,0.63897
2021-06-27,15.97444,3.99361,0.23961
2021-06-28,12.69968,3.91373,0
2021-06-29,12.77955,3.83386,0.23961
2021-06-30,11.50159,3.67412,0
2021-07-01,11.90095,3.4345,0.15974
2021-07-02,17.33226,4.55271,0.31948
2021-07-03,19.8083,4.79233,0.07987
2021-07-04,16.05431,4.63258,0.47923
2021-07-05,11.34185,2.87539,0
2021-07-06,11.34185,4.63258,0.07987
2021-07-07,8.78594,4.07348,0.07987
2021-07-08,9.50479,3.91373,0
2021-07-09,12.22044,3.59424,0
2021-07-10,13.4984,4.63258,0
2021-07-11,13.33865,6.62939,0.07987
2021-07-12,8.3067,3.11501,0.47923
2021-07-13,11.58146,3.35463,0.39936
2021-07-14,8.86581,3.11501,1.75718
2021-07-15,9.66453,3.75399,0.23961
2021-07-16,12.93929,6.07028,1.27795
2021-07-17,16.3738,3.67412,0.07987
2021-07-18,12.69968,4.47284,0.47923
2021-07-19,9.42492,4.63258,0.39936
2021-07-20,12.53993,5.11182,0.5591
2021-07-21,12.14057,3.91373,0.15974
2021-07-22,10.94249,3.4345,0.63897
2021-07-23,9.82428,4.31309,0
2021-07-24,15.09584,4.23322,0.47923
2021-07-25,12.77955,3.99361,0.63897
2021-07-26,10.623,3.75399,1.03833
2021-07-27,10.14376,3.91373,0.63897
2021-07-28,11.50159,4.07348,0.47923
2021-07-29,15.01597,5.4313,0.5591
2021-07-30,12.53993,4.95207,0.79872
2021-07-31,17.33226,6.54952,1.19808
2021-08-01,13.65814,4.23322,0.63897
2021-08-02,15.17571,4.79233,0.39936
2021-08-03,15.81469,5.03194,0.23961
2021-08-04,13.4984,4.95207,0.71884
2021-08-05,12.85942,3.99361,0.79872
2021-08-06,12.46006,5.83067,0.63897
2021-08-07,17.65175,5.51118,0.63897
2021-08-08,13.09904,5.11182,0.47923
