Date,Four_cuts,Photoism,Haru_firm
2021-05-27,13.80542,12.25678,0
2021-05-28,31.29053,12.09794,0
2021-05-29,26.68431,16.96889,0
2021-05-30,22.46194,17.49834,0
2021-05-31,13.35539,11.18464,0
2021-06-01,13.67306,11.1714,0
2021-06-02,13.23626,11.6082,0
2021-06-03,11.80675,11.1714,0
2021-06-04,17.33951,10.74784,0
2021-06-05,28.08735,16.00264,0
2021-06-06,24.19589,15.56585,0
2021-06-07,14.46724,12.17736,0
2021-06-08,13.14361,11.07875,0
2021-06-09,13.20979,11.03904,0
2021-06-10,13.22303,11.55526,0
2021-06-11,14.86432,12.49503,0
2021-06-12,25.06949,16.63798,0
2021-06-13,20.31767,17.28656,0
2021-06-14,14.75843,12.44209,0
2021-06-15,14.79814,10.97286,0
2021-06-16,16.4262,13.75248,0
2021-06-17,18.45135,16.47915,0.06618
2021-06-18,21.21773,18.18663,0
2021-06-19,33.5407,23.6532,0
2021-06-20,25.90337,21.93249,0
2021-06-21,20.05294,16.87624,0.07941
2021-06-22,19.76174,17.33951,0.0397
2021-06-23,20.87359,18.67637,0
2021-06-24,26.15486,19.65585,0
2021-06-25,29.636,19.13964,0.11912
2021-06-26,37.4454,22.15751,1.81336
2021-06-27,30.41694,21.58835,0.60886
2021-06-28,21.65453,16.20119,0.6221
2021-06-29,22.2634,18.0675,0.68828
2021-06-30,22.38252,17.39245,0.45003
2021-07-01,21.70747,17.26009,0.39708
2021-07-02,24.9636,17.14096,0.70152
2021-07-03,27.53143,20.0,0.52945
2021-07-04,24.51356,17.52481,0.37061
2021-07-05,19.17935,14.87756,0.55592
2021-07-06,18.86168,15.87028,0.30443
2021-07-07,15.71144,13.84513,0.21178
2021-07-08,16.08206,13.63335,0.29119
2021-07-09,17.89543,12.60092,0.29119
2021-07-10,23.75909,15.19523,0.30443
2021-07-11,21.46922,16.36002,0.34414
2021-07-12,14.85109,10.57577,1.2442
2021-07-13,16.20119,12.49503,4.57974
2021-07-14,16.32031,12.03176,6.04897
2021-07-15,14.95698,11.83322,2.14427
2021-07-16,17.27332,11.79351,2.39576
2021-07-17,22.89874,15.61879,1.93249
2021-07-18,19.78821,14.65254,1.74718
2021-07-19,14.3084,12.61416,1.89278
2021-07-20,15.02316,11.7538,2.409
2021-07-21,16.94242,10.36399,1.56187
2021-07-22,15.5129,12.34943,1.36333
2021-07-23,16.14824,12.73328,1.31039
2021-07-24,21.70747,15.56585,1.35009
2021-07-25,18.23957,15.04963,1.5354
2021-07-26,15.88352,13.38186,2.22369
2021-07-27,15.38054,12.60092,2.52812
2021-07-28,14.55989,12.42885,2.36929
2021-07-29,17.67041,15.19523,2.10456
2021-07-30,17.52481,12.29649,2.2634
2021-07-31,22.81932,16.18795,1.87954
2021-08-01,20.9133,14.91727,1.61482
2021-08-02,17.16743,14.91727,2.27663
2021-08-03,18.6896,14.32164,2.42223
2021-08-04,18.13368,14.90403,1.93249
2021-08-05,17.6307,13.67306,2.84579
2021-08-06,18.45135,13.55393,1.90602
2021-08-07,25.96955,18.45135,2.23692
2021-08-08,21.49569,15.60555,2.27663
2021-08-09,17.14096,16.53209,2.93845
2021-08-10,16.95565,14.85109,2.01191
2021-08-11,17.47187,15.18199,2.409
2021-08-12,18.79549,14.34811,2.84579
2021-08-13,18.6896,15.84381,3.0311
2021-08-14,26.96227,19.93381,4.05029
2021-08-15,27.47849,22.55459,4.95036
2021-08-16,24.68563,20.26472,4.9636
2021-08-17,18.66313,17.69688,4.818
2021-08-18,18.90138,17.10125,4.69887
2021-08-19,20.19854,18.66313,3.83851
2021-08-20,19.84116,16.51886,3.7988
2021-08-21,24.95036,19.96029,2.71343
2021-08-22,26.47253,20.37061,3.40172
2021-08-23,18.38517,16.91594,2.92521
2021-08-24,16.98213,15.56585,2.99139
2021-08-25,19.29847,18.45135,3.09728
2021-08-26,21.12508,18.59695,3.60026
2021-08-27,21.37657,18.57048,4.05029
2021-08-28,31.66115,25.5857,4.6724
2021-08-29,27.26671,22.47518,4.59298
2021-08-30,19.19258,17.76307,4.09
2021-08-31,15.24818,14.21575,12.49503
2021-09-01,17.39245,15.19523,3.95764
2021-09-02,17.55129,15.20847,3.56055
2021-09-03,20.31767,16.63798,4.30178
2021-09-04,31.71409,22.7399,4.77829
2021-09-05,27.50496,21.13831,4.39444
2021-09-06,15.24818,14.49371,3.54731
2021-09-07,13.38186,13.19655,3.81204
2021-09-08,15.24818,12.45532,3.83851
2021-09-09,15.56585,13.71277,4.3812
2021-09-10,19.16611,15.26141,4.44738
2021-09-11,31.26406,22.96492,5.38716
2021-09-12,28.55062,19.39113,6.45929
2021-09-13,17.45863,17.22038,4.99007
2021-09-14,15.0761,14.3084,4.68563
2021-09-15,16.87624,14.00397,5.17538
2021-09-16,41.52217,16.2409,10.39046
2021-09-17,20.4765,16.14824,20.41032
2021-09-18,38.49106,22.68696,11.66115
2021-09-19,29.79483,23.53408,7.31965
2021-09-20,26.52547,18.8352,6.76373
